"ICES" "Species" "mean_length" "haul_sum" "CPUE_mean" "biomass"
"37G1" "Scophthalmus maximus" 282.09068627451 56 3.65 0.819330470990835
"37G1" "Myoxocephalus scorpius" 136.666666666667 56 0.107142857142857 0.00273496031746032
"37G1" "Pleuronectes platessa" 263.332569267573 56 21.7928571428571 3.97949443153271
"37G1" "Platichthys flesus" 287.039703762261 56 35.7214285714286 8.448016206429
"37G1" "Trisopterus minutus" 180 56 0.0357142857142857 0.00208285714285714
"37G1" "Ammodytidae" 190 56 0.0357142857142857 0.00244964285714286
"37G1" "Hippoglossoides platessoides" 175.534188034188 56 1.17857142857143 0.0637442554228611
"37G1" "Scophthalmus rhombus" 315.5 56 0.578571428571429 0.181700061348214
"37G1" "Salmo trutta" 430 56 0.107142857142857 0.0851860714285714
"37G1" "Agonus cataphractus" 140 56 0.0357142857142857 0.00098
"37G1" "Gobiidae" 95 56 0.178571428571429 0.00153102678571429
"37G1" "Solea solea" 150 56 0.142857142857143 0.00482142857142857
"37G1" "Syngnathidae" 140 56 0.178571428571429 0.0049
"37G1" "Gadus morhua" 368.536612890883 56 342.982107142857 171.677501551549
"37G1" "Cyclopterus lumpus" 270.833333333333 56 0.285714285714286 0.0567594659391534
"37G1" "Limanda limanda" 202.987232421013 56 323.738214285714 27.0769743679674
"37G1" "Lumpenus lampretaeformis" 170.833333333333 56 0.321428571428571 0.0160251581101191
"37G1" "Callionymus" 100 56 0.535714285714286 0.00535714285714286
"37G1" "Microstomus kitt" 250 56 0.0357142857142857 0.00558035714285714
"37G1" "Enchelyopus cimbrius" 297.936507936508 56 0.392857142857143 0.103897673613075
"37G1" "Eutrigla gurnardus" 245 56 0.0714285714285714 0.010504375
"37G1" "Merlangius merlangus" 198.663870823351 56 372.295928571429 29.1907306904071
"37G1" "Melanogrammus aeglefinus" 366.666666666667 56 0.25 0.123240740740741
"37G5" "Cyclopterus lumpus" 180 57 0.350877192982456 0.0204631578947368
"37G5" "Myoxocephalus scorpius" 206.74716553288 57 1.47368421052632 0.130233623124815
"37G5" "Gadus morhua" 355.919992538146 57 335.333333333333 151.193763263532
"37G5" "Pleuronectes platessa" 220.770083993768 57 8.42105263157895 0.906122783322397
"37G5" "Gobiidae" 40 57 0.105263157894737 6.73684210526316e-05
"37G5" "Pollachius virens" 320 57 0.0350877192982456 0.0114975438596491
"37G5" "Platichthys flesus" 238.280147668427 57 69.0701754385965 9.34445852629435
"37G5" "Scophthalmus maximus" 310 57 0.210526315789474 0.0627178947368421
"37G6" "Gadus morhua" 377.31810840715 11 37.8181818181818 20.3153164224215
"37G6" "Myoxocephalus scorpius" 215 11 0.363636363636364 0.0361395454545455
"37G6" "Cyclopterus lumpus" 170 11 0.181818181818182 0.00893272727272727
"37G6" "Pleuronectes platessa" 210 11 1.27272727272727 0.117867272727273
"37G6" "Scophthalmus maximus" 260 11 0.181818181818182 0.0319563636363636
"37G6" "Platichthys flesus" 243.045402167907 11 31.2727272727273 4.48981024369759
"37G9" "Cyclopterus lumpus" 200 39 0.0512820512820513 0.0041025641025641
"37G9" "Gadus morhua" 303.83741991812 39 1020.66666666667 286.291009701247
"37G9" "Pleuronectes platessa" 211.554507672634 39 8.82051282051282 0.835142693439702
"37G9" "Merlangius merlangus" 370 39 0.102564102564103 0.0519517948717949
"37G9" "Enchelyopus cimbrius" 223.333333333333 39 0.153846153846154 0.0171374928774928
"37G9" "Platichthys flesus" 216.061467293101 39 1941.23076923077 195.798396010874
"37G9" "Zoarces viviparus" 290 39 0.205128205128205 0.050028717948718
"37G9" "Scophthalmus maximus" 273.333333333333 39 0.153846153846154 0.0314169800569801
"37G9" "Pollachius virens" 340 39 0.0512820512820513 0.0201558974358974
"38G0" "Cyclopterus lumpus" 316 57 0.175438596491228 0.0553587649122807
"38G0" "Lepidorhombus whiffiagonis" 100 57 0.0701754385964912 0.000701754385964912
"38G0" "Agonus cataphractus" 122.857142857143 57 0.315789473684211 0.00585597053859138
"38G0" "Callionymus" 141.538461538462 57 0.631578947368421 0.0179081637639844
"38G0" "Gobiidae" 66.25 57 1.05277192982456 0.00306120169133772
"38G0" "Lumpenus lampretaeformis" 165 57 0.0701754385964912 0.00315236842105263
"38G0" "Arnoglossus laterna" 140 57 0.0350877192982456 0.00096280701754386
"38G0" "Myoxocephalus scorpius" 143.333333333333 57 0.280701754385965 0.00826583495776478
"38G0" "Glyptocephalus cynoglossus" 270 57 0.0350877192982456 0.00690631578947368
"38G0" "Melanogrammus aeglefinus" 248.333333333333 57 0.140350877192982 0.0214941455490578
"38G0" "Pleuronectes platessa" 267.86317987094 57 174.157929824561 33.4720501970333
"38G0" "Microstomus kitt" 271.25 57 0.280701754385965 0.0560214528508772
"38G0" "Scophthalmus rhombus" 325.238095238095 57 0.385964912280702 0.132785927668756
"38G0" "Merlangius merlangus" 185.665285041763 57 389.654385964912 24.9385785004579
"38G0" "Platichthys flesus" 308.521840739931 57 60.6764912280702 17.8187896146133
"38G0" "Hippoglossoides platessoides" 180.242618492619 57 9.08933333333333 0.532236304093751
"38G0" "Eutrigla gurnardus" 195.714285714286 57 0.245614035087719 0.0184128392409595
"38G0" "Enchelyopus cimbrius" 206 57 0.175438596491228 0.0153365192982456
"38G0" "Limanda limanda" 183.992011402729 57 1174.74407017544 73.1711975480357
